"place","skill","average_skill_salary"
"1","asana","200284"
"2","airtable","189600"
"3","redhat","189500"
"4","watson","183460"
"5","ringcentral","182500"
"6","neo4j","170861"
"7","elixir","170824"
"8","lua","170500"
"9","solidity","166980"
"10","ruby on rails","166500"
"11","objective-c","164500"
"12","dplyr","163111"
"13","slack","162306"
"14","dynamodb","160361"
"15","notion","159177"
"16","airflow","158922"
"17","haskell","157500"
"18","hugging face","156812"
"19","zoom","155873"
"20","rshiny","154712"
"21","go","153973"
"22","theano","153167"
"23","cassandra","153053"
"24","codecommit","151747"
"25","vue","151369"
"26","express","151281"
"27","atlassian","150734"
"28","pytorch","149663"
"29","spark","149662"
"30","looker","149635"
"31","unity","149451"
"32","unreal","148760"
"33","bigquery","148118"
"34","kotlin","147925"
"35","npm","147500"
"36","tensorflow","146920"
"37","gitlab","146853"
"38","scala","146704"
"39","gdpr","145975"
"40","scikit-learn","145940"
"41","mlr","145000"
"42","c","144668"
"43","mxnet","144649"
"44","snowflake","144292"
"45","redis","143823"
"46","terminal","142952"
"47","flow","142684"
"48","pandas","142440"
"49","microstrategy","142352"
"50","golang","142348"
"51","sql","142319"
"52","seaborn","142287"
"53","python","141976"
"54","selenium","141876"
"55","aws","141748"
"56","gcp","141377"
"57","kafka","141203"
"58","hadoop","141181"
"59","jupyter","141084"
"60","php","140764"
"61","pyspark","140731"
"62","numpy","140552"
"63","redshift","140485"
"64","databricks","140066"
"65","keras","140025"
"66","clickup","140000"
"67","tidyverse","139340"
"68","c++","139148"
"69","kubernetes","138728"
"70","r","138714"
"71","opencv","138711"
"72","plotly","137717"
"73","datarobot","137681"
"74","linux","137616"
"75","arch","137376"
"76","centos","137324"
"77","assembly","136806"
"78","matplotlib","136735"
"79","c#","136669"
"80","bitbucket","136127"
"81","twilio","135893"
"82","puppet","135893"
"83","azure","135560"
"84","no-sql","135429"
"85","shell","135419"
"86","nltk","135280"
"87","ruby","135246"
"88","java","135183"
"89","openstack","135178"
"90","nosql","134987"
"91","dart","134834"
"92","tableau","134753"
"93","flask","134644"
"94","docker","133938"
"95","fastapi","133870"
"96","jira","133830"
"97","splunk","133404"
"98","erlang","133000"
"99","julia","132945"
"100","perl","132944"
